"","standtype","rep","site","status","lifeform","family","species","lifespan","site_rep","site_rep_species","count_per_transect","percentcover_native","native_fern","native_forb","native_grass","native_shrub","nonnative_fern","nonnative_forb","nonnative_grass","nonnative_shrub","percentcover_nonnative"
"1","degraded",1,"DEG1","native","herb","Fabaceae","Acmispon maritimus","annual","DEG1_1","DEG1_1_Acmispon maritimus",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"2","degraded",4,"DEG2","native","herb","Fabaceae","Acmispon maritimus","annual","DEG2_4","DEG2_4_Acmispon maritimus",11,0.268292682926829,0,0,0,0.268292683,0,0.341463415,0.975609756,0,1
"3","degraded",6,"DEG2","native","herb","Fabaceae","Acmispon maritimus","annual","DEG2_6","DEG2_6_Acmispon maritimus",9,0.219512195121951,0,0.048780488,0.048780488,0.170731707,0,0.463414634,0.902439024,0,0.926829268292683
"4","intact",1,"Intact1","native","fern","Pteridaceae","Adiantum capillus-veneris","perennial","Intact1_1","Intact1_1_Adiantum capillus-veneris",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"5","degraded",1,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_1","DEG1_1_Artemisia californica",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"6","degraded",1,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_1","DEG1_1_Artemisia californica",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"7","degraded",1,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_1","DEG1_1_Artemisia californica",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"8","degraded",2,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_2","DEG1_2_Artemisia californica",18,0.439024390243902,0,0.048780488,0,0.390243902,0,0.609756098,0.902439024,0,0.902439024390244
"9","degraded",2,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_2","DEG1_2_Artemisia californica",18,0.439024390243902,0,0.048780488,0,0.390243902,0,0.609756098,0.902439024,0,0.902439024390244
"10","degraded",3,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_3","DEG1_3_Artemisia californica",8,0.195121951219512,0,0,0,0.195121951,0,0.292682927,0.975609756,0,0.975609756097561
"11","degraded",3,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_3","DEG1_3_Artemisia californica",8,0.195121951219512,0,0,0,0.195121951,0,0.292682927,0.975609756,0,0.975609756097561
"12","degraded",3,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_3","DEG1_3_Artemisia californica",8,0.195121951219512,0,0,0,0.195121951,0,0.292682927,0.975609756,0,0.975609756097561
"13","degraded",6,"DEG2","native","shrub","Asteraceae","Artemisia californica","perennial","DEG2_6","DEG2_6_Artemisia californica",9,0.219512195121951,0,0.048780488,0.048780488,0.170731707,0,0.463414634,0.902439024,0,0.926829268292683
"14","matrix",1,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_1","ENH1_1_Artemisia californica",24,0.585365853658537,0,0.12195122,0.024390244,0.536585366,0,0.292682927,0.756097561,0,0.853658536585366
"15","matrix",2,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_2","ENH1_2_Artemisia californica",32,0.780487804878049,0,0.146341463,0.317073171,0.585365854,0,0.219512195,0.658536585,0,0.780487804878049
"16","matrix",2,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_2","ENH1_2_Artemisia californica",32,0.780487804878049,0,0.146341463,0.317073171,0.585365854,0,0.219512195,0.658536585,0,0.780487804878049
"17","matrix",3,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_3","ENH1_3_Artemisia californica",38,0.926829268292683,0,0.097560976,0.170731707,0.804878049,0,0.365853659,0.463414634,0,0.682926829268293
"18","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"19","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"20","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"21","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"22","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"23","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"24","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"25","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"26","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"27","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica",36,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0,0.268292682926829
"28","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica",38,0.926829268292683,0,0.146341463,0.43902439,0.707317073,0,0,0.073170732,0,0.0731707317073171
